"","miRNA","Estimate","Std. Error","t/z value","P value","variable","FDR","model","Presence","Exponentiated_Estimate"
"116","MIR_20A_5P",-1.38089035796125,0.361501886622049,-3.81987040472896,0.000135000057735166,"OPIOID_USERS",0.0391500167431982,"linear",">10%",-1.38089035796125
"136","MIR_25_5P",-0.86056086363375,0.254022993450831,-3.38772822075384,0.000709781107320686,"OPIOID_USERS",0.102918260561499,"linear",">10%",-0.86056086363375
"208","MIR_483_3P",1.66352390998592,0.507914800772413,3.27520266677819,0.00108264621928549,"OPIOID_USERS",0.104655801197597,"linear",">10%",1.66352390998592
"49","MIR_130A_3P",-1.33810897120349,0.433100915116721,-3.08960088630352,0.00201442382549644,"OPIOID_USERS",0.146045727348492,"linear",">10%",-1.33810897120349
"64","MIR_144_5P",-1.38272970032691,0.461664916939598,-2.99509373485234,0.00275614441725222,"OPIOID_USERS",0.159856376200629,"linear",">10%",-1.38272970032691
"74","MIR_151A_5P",-0.669159068625021,0.235520141423489,-2.84119678504186,0.00451252773000511,"OPIOID_USERS",0.218105506950247,"linear",">10%",-0.669159068625021
"88","MIR_183_3P",-0.825192393583159,0.30813493199033,-2.6780228656745,0.00742783706934131,"OPIOID_USERS",0.269592959733055,"linear",">10%",-0.825192393583159
"153","MIR_301A_3P",-0.928990308002316,0.351056022345871,-2.6462736682154,0.00817150245733309,"OPIOID_USERS",0.269592959733055,"linear",">10%",-0.928990308002316
"26","MIR_1255B_5P",-0.636910642716476,0.241719474431247,-2.6349165461951,0.00843993280242732,"OPIOID_USERS",0.269592959733055,"linear",">10%",-0.636910642716476
"245","MIR_628_3P",-0.560823705230686,0.215545074141446,-2.60188597426569,0.00929630895631223,"OPIOID_USERS",0.269592959733055,"linear",">10%",-0.560823705230686
"95","MIR_18A_5P_A1",-0.905478057730859,0.355560585520756,-2.54662101088817,0.0109044747656185,"OPIOID_USERS",0.275977674752881,"linear",">10%",-0.905478057730859
"84","MIR_17_5P",-0.964863111461999,0.381302616030066,-2.53043926503226,0.0114197658518434,"OPIOID_USERS",0.275977674752881,"linear",">10%",-0.964863111461999
"222","MIR_504",0.815384088730816,0.330664751569642,2.46589358212584,0.0137550916030903,"OPIOID_USERS",0.281783866051051,"linear",">10%",0.815384088730816
"102","MIR_193A_5P",-0.57540795636939,0.235953419785455,-2.43865063236884,0.014773907489918,"OPIOID_USERS",0.281783866051051,"linear",">10%",-0.57540795636939
"36","MIR_1274A",1.07155734120701,0.44064783893266,2.43177713931956,0.0150952488409654,"OPIOID_USERS",0.281783866051051,"linear",">10%",1.07155734120701
"138","MIR_26A_5P",-0.955663803916086,0.394878865956482,-2.42014421714178,0.015546696057989,"OPIOID_USERS",0.281783866051051,"linear",">10%",-0.955663803916086
"267","MIR_886_3P",0.863266211096252,0.365388995021695,2.36259499562923,0.018185886155171,"OPIOID_USERS",0.310229822647034,"linear",">10%",0.863266211096252
"188","MIR_374A_5P",-0.929751029057769,0.400357723178335,-2.32230072065732,0.0202529199415847,"OPIOID_USERS",0.314536893355373,"linear",">10%",-0.929751029057769
"48","MIR_1304_5P",2.66635307567763,1.15047564563837,2.31760931731688,0.0206075895646624,"OPIOID_USERS",0.314536893355373,"linear",">10%",2.66635307567763
"140","MIR_26B_5P",-1.16183957883904,0.511118116274177,-2.27313323837615,0.023059488793133,"OPIOID_USERS",0.318823727484803,"linear",">10%",-1.16183957883904
"167","MIR_328",-0.668888567122566,0.294455435145274,-2.27161222815453,0.0231476420242163,"OPIOID_USERS",0.318823727484803,"linear",">10%",-0.668888567122566
"38","MIR_1275",-0.787774600887176,0.349378474336783,-2.25478859961991,0.0241866276022954,"OPIOID_USERS",0.318823727484803,"linear",">10%",-0.787774600887176
"42","MIR_1285_3P",-0.599215938306171,0.26832529635868,-2.23316976236626,0.025580889091883,"OPIOID_USERS",0.32163660091786,"linear",">10%",-0.599215938306171
"257","MIR_7_1_3P",-0.933512852344931,0.420941843407604,-2.21767654360034,0.0266182014552712,"OPIOID_USERS",0.32163660091786,"linear",">10%",-0.933512852344931
"90","MIR_184",-0.864935843049838,0.422293027651857,-2.04818878459651,0.0405891254426394,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.864935843049838
"224","MIR_505_5P",-0.428291250384647,0.212060230206316,-2.01966794984594,0.0434670401477369,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.428291250384647
"12","MIR_106A_5P",-0.7572454949278,0.375407258957815,-2.0171306677181,0.0437302474657275,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.7572454949278
"103","MIR_193B_3P",0.69066995426633,0.345510475696159,1.99898412016226,0.0456592117232275,"OPIOID_USERS",0.455479783625823,"linear",">10%",0.69066995426633
"204","MIR_433",0.60358766872678,0.309757839037349,1.94857915655204,0.0514416931345681,"OPIOID_USERS",0.455479783625823,"linear",">10%",0.60358766872678
"284","RNU44_B2",-0.614270791758308,0.31594679217622,-1.94422227719817,0.0519258565548682,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.614270791758308
"247","MIR_629_5P",-0.434840582633907,0.224397945315099,-1.93781000099312,0.0527016577192873,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.434840582633907
"2","HSA_MIR_128A",-0.595833378833368,0.308120251847449,-1.93376895955663,0.0532325540738059,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.595833378833368
"200","MIR_424_3P",-0.383089041864177,0.203325074730786,-1.88412099378991,0.0596026653974944,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.383089041864177
"9","LET_7G_5P",-0.602843495582898,0.320829636047267,-1.87901436728271,0.0602945190849673,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.602843495582898
"39","MIR_1276",2.55229758198724,1.36646601009995,1.86780905132105,0.0622490893294698,"OPIOID_USERS",0.455479783625823,"linear",">10%",2.55229758198724
"118","MIR_20B_5P",-0.600019465335791,0.323758764039814,-1.85329180853311,0.0638935142754833,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.600019465335791
"150","MIR_29B_2_5P",-0.408108872017838,0.22120064014939,-1.84497147812148,0.0650975600950875,"OPIOID_USERS",0.455479783625823,"linear",">10%",-0.408108872017838
